Mes,Consumo_Energia_kWh,Residuos_kg
Junio,203.89,25.72
Julio,196.33,20.66
Agosto,644.35,62.68
Septiembre,745.85,76.66
Octubre,337.59,49.56
Noviembre,539.68,68.69
Diciembre,183.07,16.89
Enero,481.22,50.79
Febrero,794.01,78.16
Marzo,673.4,66.25
Abril,596.51,73.82
Mayo,484.92,54.38
Junio,894.8,86.25
Julio,913.54,73.09
Agosto,624.26,58.77
Septiembre,233.28,34.61
Octubre,909.08,92.2
Noviembre,816.51,90.38
Diciembre,289.07,21.42
Enero,324.58,48.71
Febrero,895.72,94.52
Marzo,465.74,46.22
Abril,936.89,86.45
Mayo,878.15,99.08
Junio,893.27,83.75
Julio,122.31,19.79
Agosto,937.73,82.54
Septiembre,822.01,89.46
Octubre,340.13,27.9
Noviembre,808.64,91.36
Diciembre,872.73,94.37
Enero,300.19,39.13
Febrero,374.67,33.73
Marzo,815.81,79.59
Abril,273.82,35.01
Mayo,395.44,57.36
Junio,351.21,24.13
Julio,677.33,49.36
Agosto,582.59,72.81
Septiembre,945.31,106.24
Octubre,260.71,46.23
Noviembre,966.28,91.76
Diciembre,491.11,55.56
Enero,755.69,69.98
Febrero,560.28,67.68
Marzo,446.68,42.53
Abril,737.91,69.88
Mayo,101.52,27.51
Junio,747.49,69.05
Julio,767.76,71.62
Agosto,162.98,17.17
Septiembre,697.81,65.96
Octubre,863.21,89.45
Noviembre,747.78,71.42
Diciembre,467.55,56.28
Enero,462.16,48.1
Febrero,478.4,54.67
Marzo,946.33,82.82
Abril,653.96,50.08
Mayo,370.85,41.3
Junio,358.22,40.38
Julio,486.9,41.16
Agosto,518.49,48.45
Septiembre,497.94,54.37
Octubre,911.06,96.26
Noviembre,816.42,81.02
Diciembre,563.91,60.88
Enero,669.65,59.38
Febrero,776.02,88.67
Marzo,705.52,70.82
Abril,121.98,25.63
Mayo,320.36,21.84
Junio,165.55,26.5
Julio,473,46.6
Agosto,726.72,67.94
Septiembre,544.94,56.76
Octubre,104.99,30.6
Noviembre,775.87,76.43
Diciembre,482.63,47.26
Enero,258.3,41.28
Febrero,145.2,19.82
Marzo,324.28,42.68
Abril,821.27,72.61
Mayo,700.82,80.3
Junio,955.04,90.36
Julio,902.28,77.01
Agosto,554.3,48.82
Septiembre,847.51,65.74
Octubre,769.29,70.33
Noviembre,527.21,54.46
Diciembre,673.9,73.3
Enero,789.23,65.95
Febrero,347.14,38.01
Marzo,169.74,23.01
Abril,387.74,49.17
Mayo,586.14,63.57
Junio,724.55,76.02
Julio,735.78,80.07
Agosto,588.35,63.22
Septiembre,474.2,52.54
Octubre,914.35,95.77
Noviembre,625.67,57.89
Diciembre,789.04,62.21
Enero,442.34,55.04
Febrero,778.13,76.42
Marzo,868.1,91.77
Abril,772.76,73.28
Mayo,591.52,55.78
Junio,297.48,31.87
Julio,492.25,58.96
Agosto,711.23,71.77
Septiembre,463.89,54
Octubre,214.87,35.99
Noviembre,660.03,74
Diciembre,607.95,63.03
Enero,124.39,17.88
Febrero,515.53,50.44
Marzo,145.26,18.35
Abril,394.16,47.3
Mayo,785.11,67.05
Junio,848.73,91.34
Julio,327.04,39.18
Agosto,585.48,60.54
Septiembre,999.92,88.18
Octubre,803.11,87.65
Noviembre,686.58,68.88
Diciembre,279.42,14.2
Enero,118.34,22.45
Febrero,702.51,73.11
Marzo,607.57,64.12
Abril,790.21,89.32
Mayo,251.01,20.96
Junio,203.08,18.97
Julio,837.37,84.91
Agosto,123.11,19.62
Septiembre,380.76,33.48
Octubre,456.99,30.75
Noviembre,743.51,84.08
Diciembre,664.52,72.12
Enero,191.71,28.49
Febrero,640.37,49
Marzo,208.95,41.67
Abril,412.48,43.64
Mayo,485.54,44.74
Junio,407.11,51.51
Julio,864.62,85.15
Agosto,964.71,88.61
Septiembre,672.03,73.07
Octubre,491.94,40.78
Noviembre,760.42,80.83
Diciembre,827.38,78.96
Enero,584.36,51.16
Febrero,757.92,75.31
Marzo,341.56,48.03
Abril,178,13.03
Mayo,893.47,86.29
Junio,649.3,74.13
Julio,441.09,62.85
Agosto,263.66,35.21
Septiembre,290.91,36.89
Octubre,892.29,78.87
Noviembre,731.07,71.95
Diciembre,953.26,92.15
Enero,177.05,23.32
Febrero,782.35,67.4
Marzo,721.55,65.68
Abril,813.64,71.78
Mayo,183.75,27.8
Junio,375.59,54
Julio,623.4,53.28
Agosto,482.95,52.7
Septiembre,771.34,69.51
Octubre,343.82,50.12
Noviembre,326.26,41.53
Diciembre,207.6,31.24
Enero,582.28,59.89
Febrero,294.75,29.95
Marzo,535.78,52.06
Abril,572.17,36.99
Mayo,354.7,44.39
Junio,304.73,39.01
Julio,261.5,42.08
Agosto,346.88,40.36
Septiembre,976.87,81.35
Octubre,213.65,24.09
Noviembre,881.62,68.72
Diciembre,616.66,63.35
Enero,522.46,49.65
Febrero,146.24,24.3
Marzo,946.96,75.77
Abril,460.64,51.23
Mayo,166.67,22.34
Junio,234.28,27.98
Julio,606.56,53.08
Agosto,206.61,51.67
Septiembre,788,65.87
Octubre,303.12,27
Noviembre,570.32,50.24
Diciembre,874.15,86.95
Enero,991.03,90.44
Febrero,648.67,75.61
Marzo,766.08,80.28
Abril,289.92,32.88
Mayo,694.39,71.75
Junio,167.56,28.37
Julio,102.41,8.48
Agosto,362.13,44.07
Septiembre,308.33,32.88
Octubre,508.63,41.22
Noviembre,718.65,83.59
Diciembre,662.55,59.84
Enero,695.06,76.78
Febrero,590.11,56.75
Marzo,682.87,80.61
Abril,164.27,15.81
Mayo,249.33,26.48
Junio,612.29,74.48
Julio,359.75,49.26
Agosto,729.76,80.64
Septiembre,948.41,81.28
Octubre,172.4,24.63
Noviembre,135.87,15.13
Diciembre,325.33,40.58
Enero,182.19,40.26
Febrero,617.68,58.9
Marzo,955.71,103.19
Abril,342.56,39.09
Mayo,136.21,21.93
Junio,686.36,59.33
Julio,924.47,93.01
Agosto,671.31,76.71
Septiembre,542.55,62.33
Octubre,399.98,48.01
Noviembre,703.12,74.25
Diciembre,724.31,65.99
Enero,359.4,54.35
Febrero,595.09,55.63
Marzo,509.34,50.51
Abril,973.17,99.22
Mayo,463.76,25.7
Junio,691.89,66.63
Julio,588.33,55.6
Agosto,425.6,48.85
Septiembre,780.8,66.84
Octubre,283.2,24.49
Noviembre,594.3,68.23
Diciembre,728.43,68.15
Enero,209.28,38.59
Febrero,315.37,34.97
Marzo,242.54,20.99
Abril,183.89,22.45
Mayo,993.03,102.01
Junio,205.72,22.86
Julio,848.93,69.46
Agosto,557.98,57.56
Septiembre,346.08,50.79
Octubre,319.36,17.83
Noviembre,596.14,47.23
Diciembre,557.42,69.45
Enero,891.39,89.99
Febrero,811.01,74.08
Marzo,473.45,58.97
Abril,838.49,77.45
Mayo,354.56,36.94
Junio,999.01,105.06
Julio,540.68,61.88
Agosto,410.61,52.9
Septiembre,596.73,52.23
Octubre,389.6,40.74
Noviembre,269.79,29.56
Diciembre,310.21,26.51
Enero,797.99,90.55
Febrero,734.71,76.03
Marzo,830.27,71.66
Abril,838.67,89.04
Mayo,982.74,91.34
Junio,552.06,56.99
Julio,631.16,74.78
Agosto,496.28,40.29
Septiembre,573.36,46.39
Octubre,468.98,53.29
Noviembre,689.3,73.68
Diciembre,972.28,100.07
Enero,404.71,40.32
Febrero,866.59,72.81
Marzo,867.11,88.67
Abril,385,36.68
Mayo,746.85,74.44
Junio,132.31,5.04
Julio,161.58,11.49
Agosto,997.68,81.58
Septiembre,772.09,72.29
Octubre,670.37,68.45
Noviembre,885.32,73.7
Diciembre,913.08,91.88
Enero,141.39,23.92
Febrero,437.36,40.79
Marzo,231.01,19.5
Abril,813.27,77.12
Mayo,252.99,45.74
Junio,657.74,73.61
Julio,316.75,40.72
Agosto,515.03,51.46
Septiembre,328.58,37.89
Octubre,824.17,81.15
Noviembre,911.09,85.38
Diciembre,497.56,48.08
Enero,411.01,35.2
Febrero,481.88,44.99
Marzo,325.09,40.64
Abril,446.22,43.52
Mayo,534.89,56.3
Junio,617.33,72.86
Julio,993.42,88.25
Agosto,692.41,90.06
Septiembre,347.03,28.35
Octubre,770.2,70.57
Noviembre,144.14,14.9
Diciembre,913.74,81.86
Enero,357.57,43.7
Febrero,417.09,35.03
Marzo,672.96,58.47
Abril,748.84,65.36
Mayo,693.26,74.86
Junio,913.06,78.05
Julio,681.71,64.82
Agosto,621.62,70.88
Septiembre,759.12,80.17
Octubre,772.73,79.27
Noviembre,258.08,38.66
Diciembre,974.34,100.17
Enero,577.77,72.01
Febrero,331.27,30.36
Marzo,842.22,67.18
Abril,771.9,77.26
Mayo,404.84,59.8
Junio,226.68,42.86
Julio,969.85,100.63
Agosto,981.95,83.58
Septiembre,970.54,95.06
Octubre,811.61,71.8
Noviembre,112.53,10.99
Diciembre,705.55,67.96
Enero,705.11,57.11
Febrero,946.26,82.9
Marzo,197.51,26.97
Abril,895.81,87.94
Mayo,605.27,66.32
Junio,156.9,20.46
Julio,841.47,87.24
Agosto,467.47,46.08
Septiembre,225.8,35.62
Octubre,543.36,53.93
Noviembre,187.47,29.22
Diciembre,508.28,50.39
Enero,703.44,68.96
Febrero,477.21,31.25
Marzo,768.04,79.96
Abril,189.12,32.91
Mayo,540.41,39.44
Junio,129.44,31.74
Julio,433.48,28.46
Agosto,869.91,90.78
Septiembre,189.42,22.16
Octubre,980.06,84.08
Noviembre,422.81,41.78
Diciembre,209.94,30.94
Enero,863.23,72.05
Febrero,677.53,70.9
Marzo,637.43,78.12
Abril,319.21,39.01
Mayo,213.33,25.36
Junio,788.64,75.84
Julio,286.44,37.78
Agosto,395.7,59.42
Septiembre,232.8,30.28
Octubre,872.57,83.82
Noviembre,230.22,33.73
Diciembre,257.05,36.28
Enero,694.95,70.44
Febrero,810.99,79.16
Marzo,314.14,34.49
Abril,147.16,26.94
Mayo,767.55,62.18
Junio,528.62,52.77
Julio,800.22,74.19
Agosto,553.45,56.72
Septiembre,950.87,104.3
Octubre,880.28,88.59
Noviembre,569.31,38.47
Diciembre,154.74,28.53
Enero,531.08,45.22
Febrero,541.24,63.06
Marzo,918.73,91.03
Abril,647.47,66.5
Mayo,159.11,21.75
Junio,593.52,71.64
Julio,392.67,53.21
Agosto,508.34,52.88
Septiembre,644.88,74.92
Octubre,867.51,91
Noviembre,685.82,69.81
Diciembre,293.52,22.26
Enero,506.4,54.02
Febrero,508.15,60.41
Marzo,474.39,57.3
Abril,698.6,74.13
Mayo,436.87,57.54
Junio,160.42,38.47
Julio,848.59,85.13
Agosto,764.92,77.01
Septiembre,830.59,70.63
Octubre,605.43,57.77
Noviembre,396.68,49.09
Diciembre,698.81,74.59
Enero,775.26,84.54
Febrero,971.56,83.16
Marzo,640.37,58.17
Abril,291.46,43.21
Mayo,691.06,69.36
Junio,860.84,86.95
Julio,430.8,47.45
Agosto,826.5,69.83
Septiembre,860.64,97.74
Octubre,652.22,63.09
Noviembre,678.43,85.82
Diciembre,846.51,84.98
Enero,340.7,44.24
Febrero,378.09,53.43
Marzo,405.84,60.64
Abril,609.69,62.44
Mayo,460.71,56.28
Junio,127.59,29.66
Julio,771.5,77.39
Agosto,406.81,52.73
Septiembre,433.05,44.35
Octubre,610.83,48.28
Noviembre,176.46,29.43
Diciembre,656.05,67.28
Enero,706.57,68.43
Febrero,537.1,67.32
Marzo,497.84,50.37
Abril,202.44,40.48
Mayo,486.92,48.89
Junio,537.97,67.52
Julio,700.42,77.23
Agosto,639.39,66.61
Septiembre,106.92,17.34
Octubre,223.51,34.22
Noviembre,329.97,37.58
Diciembre,772.31,76.53
Enero,258.13,22.83
Febrero,550.24,65.3
Marzo,850.02,83.32
Abril,875.59,81.52
Mayo,138.07,39.64
Junio,875.9,86.57
Julio,618.18,51.28
Agosto,475.92,44.86
Septiembre,203.66,34.34
Octubre,821.19,80.73
Noviembre,656.31,74.64
Diciembre,179.32,9.61
Enero,860.04,83.55
Febrero,571.57,69.24
Marzo,456.19,46.08
Abril,399.76,50.75
Mayo,251.32,27.43
Junio,558.96,57.25
Julio,915.33,80.26
Agosto,837.05,91.61
Septiembre,833.53,81.24
Octubre,277.54,38.08
Noviembre,642.16,65.33
Diciembre,259.43,20.4
Enero,795.56,64.22
Febrero,783.89,77.13
Marzo,504.01,62.01
Abril,671.77,62.37
Mayo,662.07,73.67
Junio,235.86,21.58
Julio,161.46,17.37
Agosto,347.21,41.93
Septiembre,150.55,15.91
Octubre,506.72,52.75
Noviembre,151.2,24.42
Diciembre,877.83,81.83
Enero,869.76,76.79
Febrero,516.44,47.6
Marzo,598.88,65.32
Abril,504.76,36.47
Mayo,828.83,76.37
Junio,528.07,49.14
Julio,235.77,33.5
Agosto,909.21,88.7
Septiembre,409.09,42.66
Octubre,255.3,22.46
Noviembre,322.97,29.5
Diciembre,570.47,61.77
Enero,242.87,26.09
Febrero,467.89,54.45
Marzo,404.53,32.85
Abril,682.57,59.87
Mayo,159.32,33.53
Junio,355.73,46.98
Julio,751.36,64.22
Agosto,885.95,70.81
Septiembre,400.03,40.17
Octubre,414.84,43.07
Noviembre,970.93,89.99
Diciembre,635.54,56.46
Enero,944.2,87.41
Febrero,812.5,86.3
Marzo,831.87,73.48
Abril,764.9,61.84
Mayo,716.87,59.56
Junio,481.07,48.99
Julio,425.65,42.9
Agosto,292.77,38.72
Septiembre,952.9,85.28
Octubre,223.81,29.52
Noviembre,169.45,26.47
Diciembre,793.79,74.41
Enero,851.61,84.04
Febrero,403.09,42.78
Marzo,789.68,82.41
Abril,246.02,36.62
Mayo,848.21,84.02
Junio,248.99,16.73
Julio,493.91,41.8
Agosto,313.78,43.06
Septiembre,499.78,49.59
Octubre,504.04,65.82
Noviembre,580.61,54.04
Diciembre,522.11,67.92
Enero,851.6,69.3
Febrero,986,108.13
Marzo,515.51,52.26
Abril,574.71,66.54
Mayo,969.64,98.29
Junio,224.56,15.96
Julio,325,27.34
Agosto,599.09,48.3
Septiembre,192.33,35.2
Octubre,356.56,27.44
Noviembre,786.81,74.4
Diciembre,232.61,46.96
Enero,493.73,57.32
Febrero,506.02,51.14
Marzo,414.63,47.85
Abril,551.81,57.35
Mayo,312.2,44.29
Junio,125.37,20.39
Julio,937.74,95.87
Agosto,812.24,69.22
Septiembre,223.84,25.57
Octubre,726.46,86.4
Noviembre,224.91,26.71
Diciembre,104.73,10.51
Enero,171.3,24
Febrero,593.92,75.66
Marzo,754.51,70.31
Abril,359.29,39.87
Mayo,371.04,49.51
Junio,814.51,81.7
Julio,511.4,66.79
Agosto,637.07,75.29
Septiembre,114.79,13.83
Octubre,229.22,28.91
Noviembre,486.32,46.88
Diciembre,474.91,46.45
Enero,697.93,87.95
Febrero,160.91,34.79
Marzo,573.45,34.9
Abril,598.74,59.79
Mayo,451.41,37.2
Junio,982.94,95.67
Julio,328.29,51.93
Agosto,410.32,46.31
Septiembre,759.65,65.05
Octubre,761.67,64.83
Noviembre,399.27,53.6
Diciembre,832.16,83.5
Enero,257.58,33.52
Febrero,725.85,62.9
Marzo,668.56,67.92
Abril,798.57,75.2
Mayo,511.91,52.87
Junio,279.52,36.07
Julio,137.72,30.5
Agosto,990.21,90.25
Septiembre,588.73,59.76
Octubre,271.99,46.5
Noviembre,421.28,48.9
Diciembre,398.73,28.16
Enero,212.03,16.68
Febrero,768.98,87.75
Marzo,905.17,70.6
Abril,546.58,70.56
Mayo,547.77,65.17
Junio,821.03,75.35
Julio,754.37,83.68
Agosto,840.11,86.58
Septiembre,590.93,58.81
Octubre,694.83,72.01
Noviembre,375.85,35.21
Diciembre,720.79,66.2
Enero,416.39,60.99
Febrero,417.3,49.72
Marzo,998.34,91.42
Abril,953.11,113.13
Mayo,167.54,19.3
Junio,820.99,74
Julio,711.47,74.72
Agosto,646.82,63.68
Septiembre,803.18,81.18
Octubre,800.66,78.7
Noviembre,429.7,38.85
Diciembre,644.59,71.74
Enero,711.16,77.77
Febrero,786.78,74.44
Marzo,616.53,54.48
Abril,684.6,66.71
Mayo,324.65,47.47
Junio,549.14,65.21
Julio,448.29,42.33
Agosto,334.26,36.06
Septiembre,501.65,59.2
Octubre,924.83,88.46
Noviembre,542.08,67.31
Diciembre,506.84,63.99
Enero,908.81,84.02
Febrero,713.74,71.83
Marzo,860.97,80.05
Abril,158.45,30.16
Mayo,587.95,72.09
Junio,740.63,63.1
Julio,934.59,80.22
Agosto,557.88,46.6
Septiembre,209.23,29.11
Octubre,811.34,83.13
Noviembre,123.66,13.27
Diciembre,823.3,77.42
Enero,596.48,58.11
Febrero,378.36,39.96
Marzo,999.64,93.07
Abril,792.25,67.76
Mayo,841.01,100.66
Junio,678.1,77.22
Julio,504.98,49.8
Agosto,890.16,79.01
Septiembre,802.24,74.95
Octubre,969.64,88.52
Noviembre,489.36,53.88
Diciembre,211.75,26.56
Enero,237.71,33.81
Febrero,738.4,78.83
Marzo,411.42,60.8
Abril,861.34,77.05
Mayo,325.54,30.98
Junio,212.65,20.48
Julio,372.54,32.42
Agosto,251.77,29.43
Septiembre,947.45,97.18
Octubre,748.57,83.3
Noviembre,644.63,70.45
Diciembre,842.71,73.02
Enero,125.54,31.66
Febrero,619.09,65.85
Marzo,686.02,69.19
Abril,675.09,59.12
Mayo,548.23,51.98
Junio,960.99,86.94
Julio,534.65,59.54
Agosto,367.69,29.8
Septiembre,165.68,32.09
Octubre,535.83,58.71
Noviembre,283.62,28.68
Diciembre,746.53,69.15
Enero,760.78,88.63
Febrero,217.69,11.79
Marzo,433.49,40.35
Abril,519.83,51.54
Mayo,340.72,39.01
Junio,361.19,44.31
Julio,445.73,43.36
Agosto,878.78,80.69
Septiembre,243.73,25.81
Octubre,381.44,51.71
Noviembre,786.81,67.26
Diciembre,548.88,56.76
Enero,377.69,61.18
Febrero,554.9,59.96
Marzo,970.02,94.07
Abril,145.49,29.65
Mayo,545.4,64.97
Junio,523.53,46.64
Julio,583.02,64.43
Agosto,894.21,79.05
Septiembre,754.76,74.82
Octubre,460.52,41.54
Noviembre,613.25,65.59
Diciembre,166.18,33.67
Enero,553.83,57.66
Febrero,990.18,87.71
Marzo,712.36,86.51
Abril,454.51,63.4
Mayo,815.41,69.27
Junio,779.47,92.29
Julio,279.15,24.32
Agosto,140.77,21.43
Septiembre,223.33,24.47
Octubre,511.29,61.32
Noviembre,645.63,57.78
Diciembre,651.76,64.71
Enero,246.25,44.03
Febrero,369.31,40.62
Marzo,402.74,48.89
Abril,737.87,64.03
Mayo,369.81,44.51
Junio,706.43,63.02
Julio,981.91,81.11
Agosto,752.79,66.82
Septiembre,719.24,80.08
Octubre,970.36,93.99
Noviembre,804.61,80.11
Diciembre,749.26,63.33
Enero,625.17,68.54
Febrero,657.76,75.8
Marzo,857.05,90.09
Abril,128.41,30.59
Mayo,953.38,92.24
Junio,382.32,43.49
Julio,236.29,27.08
Agosto,797.48,70.13
Septiembre,928.47,98.02
Octubre,156.05,13.91
Noviembre,224.27,30.94
Diciembre,696,76
Enero,572.93,56.78
Febrero,920.91,92.82
Marzo,408.09,36.31
Abril,748.83,84.56
Mayo,678.98,63.88
Junio,273.04,22.92
Julio,321.87,32.03
Agosto,975.62,90.89
Septiembre,367.85,39.94
Octubre,734.49,77.72
Noviembre,385.34,31.91
Diciembre,815.86,94.51
Enero,346.11,48.08
Febrero,441.72,55.88
Marzo,982.14,101.77
Abril,824.15,61.97
Mayo,361.41,37.75
Junio,411.73,57.31
Julio,498.14,51.97
Agosto,281.86,43.09
Septiembre,584.72,70.97
Octubre,223.55,23.96
Noviembre,654.11,60.5
Diciembre,702.85,66.65
Enero,577.94,57.42
Febrero,471.97,48.12
Marzo,745.62,84.46
Abril,104.66,27.01
Mayo,595.32,67.98
Junio,941.53,86.51
Julio,890.56,80.41
Agosto,967.52,92.99
Septiembre,389.05,32.44
Octubre,180.51,11.48
Noviembre,616.72,49.91
Diciembre,943,87.35
Enero,921.91,95.87
Febrero,258.21,46.69
Marzo,927.67,96.9
Abril,545.85,56.25
Mayo,942.95,107.89
Junio,889.07,81.27
Julio,108.34,15.74
Agosto,984.69,92.12
Septiembre,356.11,50.26
Octubre,544.52,55.6
Noviembre,944.7,95.63
Diciembre,273.53,26.01
Enero,201.38,31.75
Febrero,331.54,45.74
Marzo,267.58,31.56
Abril,611,47.83
Mayo,781.55,83.54
Junio,907.34,101.18
Julio,844.29,78.37
Agosto,702.33,69.37
Septiembre,266.3,37.12
Octubre,323.24,42.94
Noviembre,334.71,39.67
Diciembre,958.63,104.82
Enero,371.75,41.39
Febrero,688.32,67.31
Marzo,723.49,75.21
Abril,376.13,43.5
Mayo,464.87,32.53
Junio,733.2,72.05
Julio,379.88,55.47
Agosto,365.53,53.05
Septiembre,653.16,66.34
Octubre,237.87,34.42
Noviembre,772.96,69.17
Diciembre,594.31,55.4
Enero,523.75,43.03
Febrero,296.57,32.45
Marzo,322.72,37.92
Abril,173.68,8.51
Mayo,502.07,51.75
Junio,607.75,58.57
Julio,155.58,14.15
Agosto,615.43,59.51
Septiembre,234.87,25.39
Octubre,204.62,35.95
Noviembre,284.86,31.19
Diciembre,559.34,55.8
Enero,827.82,71.17
Febrero,511.12,56.21
Marzo,151.96,8.81
Abril,750.95,77.23
Mayo,456.35,54.16
Junio,620.48,50.64
Julio,140.76,20.34
Agosto,994.71,96.96
Septiembre,941.12,106.91
Octubre,128.56,28.76
Noviembre,467.98,51.4
Diciembre,980.5,79.81
Enero,681.29,45.84
Febrero,444.23,59.83
Marzo,882.66,91.5
Abril,714.46,66.44
Mayo,695.61,57.83
Junio,412.99,42.26
Julio,260.63,22.61
Agosto,755.07,71.9
Septiembre,300.42,37.25
Octubre,368.53,41.36
Noviembre,706.15,60.55
Diciembre,841.02,78.77
Enero,322.76,33.78
Febrero,943.67,95.5
Marzo,752.52,85.02
Abril,477.32,60.06
Mayo,789.45,78.16
Junio,285.47,33.32
Julio,190.81,36.78
Agosto,732.96,74.56
Septiembre,143.81,21.74
Octubre,310.91,28.33
Noviembre,295.54,36.91
Diciembre,553.51,54.99
Enero,360.34,45.84
Febrero,387.01,31.01
Marzo,638.13,60.95
Abril,371.59,35.37
